Date,OPEN,HIGH,LOW,LAST,VOLUME
2/12/2009,22402.51,22439.36,22266.69,22289.57,1617587200
3/12/2009,22503.68,22593.72,22333.67,22553.87,1437844224
4/12/2009,22400.49,22528.84,22240.86,22498.15,1417672832
7/12/2009,22387.23,22476.62,22256.11,22324.96,1120986880
8/12/2009,22306.17,22306.17,22055.02,22060.52,1317624320
9/12/2009,21905.8,22034.81,21658.27,21741.76,1563804672
10/12/2009,21939.12,21981.38,21565.58,21700.04,1620539136
11/12/2009,21796.83,22143.84,21796.83,21902.11,1537443456
14/12/2009,21638.97,22225.77,21546.53,22085.75,1895287680
15/12/2009,22032.16,22032.16,21779.92,21813.92,1767722752
16/12/2009,21840.25,21907.29,21517.59,21611.74,1781760128
17/12/2009,21665.79,21665.79,21218.9,21347.63,1787913088
18/12/2009,21162.43,21281.91,21078.2,21175.88,1872781568
21/12/2009,21110.24,21178.45,20932.77,20948.1,1201789440
22/12/2009,21151.85,21229.71,21029.28,21092.04,1273394944
23/12/2009,21115.88,21339.18,21017.02,21328.74,992743488
24/12/2009,21378.79,21591.99,21357.29,21517,688221376
28/12/2009,21622.13,21739.39,21474.11,21480.22,851751104
29/12/2009,21544.44,21608.98,21392.9,21499.44,775521088
30/12/2009,21469.33,21620.74,21320.11,21496.62,1494220160
31/12/2009,21654.25,21886.32,21587.48,21872.5,792382400
4/1/2010,21860.04,22024.83,21689.22,21823.28,1006199616
5/1/2010,22092.15,22297.04,21987.27,22279.58,1965584896
6/1/2010,22357.46,22514.79,22277.13,22416.67,2100234240
7/1/2010,22548.03,22548.03,22169.61,22269.45,1495365376
8/1/2010,22282.75,22443.22,22206.16,22296.75,1626022656
11/1/2010,22524.18,22671.92,22373.96,22411.52,1744637824
12/1/2010,22378.23,22476.12,22192.98,22326.64,2204776960
13/1/2010,21990.68,22012.04,21688.17,21748.6,3414190592
14/1/2010,21871.01,21988.93,21707.1,21716.95,2338667520
15/1/2010,21715.09,21788.85,21581.07,21654.16,2659842304
18/1/2010,21418.34,21645.68,21320.97,21460.01,1867401600
19/1/2010,21481.11,21681.69,21335.6,21677.98,1913397888
20/1/2010,21543.25,21561.56,21171.3,21286.17,2197552128
21/1/2010,21192.83,21272.26,20828.24,20862.67,2465648896
22/1/2010,20519.01,20738.99,20250.36,20726.18,3220361984
25/1/2010,20447.79,20619.7,20422.67,20598.55,1909841536
26/1/2010,20560.11,20560.11,20046.6,20109.33,2270009344
27/1/2010,20185.8,20340.82,19923.55,20033.07,1822372608
28/1/2010,20202.33,20437.56,20170.15,20356.37,1880647168
29/1/2010,20026.52,20327.69,19916.34,20121.99,1784257408
1/2/2010,19987.67,20254.24,19845.93,20243.75,1701996928
2/2/2010,20432.96,20533.96,20181.28,20272.18,1561641984
3/2/2010,20486.15,20780.5,20315.31,20722.08,1922114944
4/2/2010,20534.74,20554.2,20316.33,20341.64,1607734144
5/2/2010,19706.24,19822.93,19655.88,19665.08,2515439104
8/2/2010,19614.85,19673.11,19423.05,19550.89,1751004672
9/2/2010,19493.5,19843.87,19461.2,19790.28,1495157376
10/2/2010,19914.84,19976.66,19681.54,19922.22,1581352704
11/2/2010,20095.53,20310.79,20095.53,20290.69,1338864128
12/2/2010,20240.67,20428.32,20212.55,20268.69,1193582080
17/2/2010,20657.86,20684.22,20471.36,20534.01,1111742080
18/2/2010,20534.77,20569.61,20381.3,20422.15,720614400
19/2/2010,20261.49,20261.49,19874.55,19894.02,1329484544
22/2/2010,20407.84,20427.09,20313.15,20377.27,1067658304
23/2/2010,20218.51,20711.75,20120.1,20623,1469337344
24/2/2010,20357.42,20583.84,20351.05,20467.74,1508097536
25/2/2010,20512.38,20644.27,20261.98,20399.57,1980209536
26/2/2010,20657.83,20662.84,20567.58,20608.7,1492479488
1/3/2010,20853.08,21056.93,20853.08,21056.93,2585989888
2/3/2010,20921.44,20961.83,20847.46,20906.11,2296292096
3/3/2010,21016.29,21016.29,20845.16,20876.79,1674115328
4/3/2010,20983.81,21000.13,20575.78,20575.78,1910837632
5/3/2010,20820.97,20820.97,20654.94,20787.97,2875175936
8/3/2010,21099.71,21257.09,21080.76,21196.87,2052899712
